Accion,SP Name,Parametros,Retorna,Archivo SP,Linea
Listar repositorio,GD_RepositorioDocumentos_Get,"@Id bigint,@Nombre varchar(max),@Url varchar(max),@DocumentoId bigint,@Version float,@Fecha datetime,@Comentarios varchar(max),@UsuarioId bigint,@IdContenedor bigint","IdDocumentoRepositorio,Nombre,Url,DocumentoId,Version,Fecha,Comentarios,UsuarioId,IdContenedor",CO_Matrix_Structure_SP.sql,21368
Listar por trabajo,GD_RepositorioDocumentos_GetXTrabajo,"@Id bigint,@Nombre varchar(max),@Url varchar(max),@DocumentoId bigint,@Version float,@Fecha datetime,@Comentarios varchar(max),@UsuarioId bigint,@IdContenedor bigint,@esRecuperacion bit","IdDocumentoRepositorio,Nombre,Url,DocumentoId,Version,Fecha,Comentarios,UsuarioId,IdContenedor,URLRecuperacion",CO_Matrix_Structure_SP.sql,21406
Insertar repositorio (auto-version),GD_GD_RepositorioDocumentos_Add,"@Nombre varchar(max),@Url varchar(max),@DocumentoId bigint,@Version float,@Fecha datetime,@Comentarios varchar(max),@UsuarioId bigint,@IdContenedor bigint","SCOPE_IDENTITY(), calcula Version = MAX+1",CO_Matrix_Structure_SP.sql,21233
Eliminar escaneo/archivo asociado,GD_EscanerDocumentos_Del,"@IdTrabajo bigint,@Id bigint,@IdDocumento bigint","DELETE registros GD_EscanerDocumentos",CO_Matrix_Structure_SP.sql,20900
