Verificación; $ 31.465 ; $ 1.048.823 ; $ 1.335.229,50 ;; $ 1.048.822,77 ;#DIV/0!;;;;
Codificacion; $ 28.105 ; $ -   ; $ -   ;; $ -   ;#DIV/0!;;;;
Verificacion-Campo Costo telefónico; $ 144 ; $ 100.887 ; $ 128.436,41 ;; $ 100.886,80 ;#DIV/0!;;;;
Costo telefónico para Siembra; $ 215 ; $ -   ;;;;;;;;
Crítica Encuestas; $ 30.266 ; $ 403.552 ; $ 513.752,17 ;; $ 403.552 ;#DIV/0!;;;;
Alojamiento en Ifield (0,19); $ 0,20 ; $ 328.705 ; $ 1.977.418,08 ;; $ 328.705,06 ;#DIV/0!;;;;
Otros Costos;; $ -   ;;; $ -   ;#DIV/0!;;;;
Viaticos;; $ -   ;;;;;;;;
Locacion btá; $ 683.800 ; $ -   ;;; $ -   ;#DIV/0!;;;;
Locacion Mdellín; $ 884.732 ; $ -   ; $ -   ;; $ -   ;#DIV/0!;;;;
Locación Barranquilla; $ 904.720 ; $ -   ;;; $ -   ;#DIV/0!;;;;
Locación cali; $ 631.200 ; $ -   ; $ -   ;; $ -   ;#DIV/0!;;;;
Locación Bucaramanga;;; $ -   ;; $ -   ;#DIV/0!;;;;
Locación Cartagena;;; $ -   ;; $ -   ;#DIV/0!;;;;
Localización Otra Ciudad 1;;; $ -   ;; $ -   ;#DIV/0!;;;;
Localización Otra Ciudad 2;;; $ -   ;; $ -   ;#DIV/0!;;;;
Localización Otra Ciudad 3;;; $ -   ;; $ -   ;#DIV/0!;;;;
Base de datos; $ -   ; $ -   ;;; $ -   ;#DIV/0!;;;;
;;;Vr por encuesta;;;;;;;
Total costo Directo;; $ 14.304.035 ; $ 35.760,09 ;;;;;;;
Compra de producto;; $ 11.572 ;;;-$ 11.572 ;#DIV/0!;;;;
Incentivos ;; $ -   ;;; $ -   ;#DIV/0!;;;;
Tablets; $ 1.683 ; $ 673.280 ; $ 1.001.985 ;; $ 673.280,00 ;#DIV/0!;;;;
Total con Incentivos;; $ 14.988.887 ; $ 37.472,22 ;;;;;;;
Total GM 21,45%;19,00%;19,00%;;;;;;;;
;;;;;;;;;;
Staff PMO; $ 67.824 ; $ 1.288.651 ;322162,8163;;-$ 1.288.651 ;#DIV/0!;;;;
Conversión/generación archivos ASCII y otros; $ 60.255 ; $ -   ;675325;; $ -   ;#DIV/0!;;;;
Estadistica; $ 67.824 ; $ -   ;;; $ -   ;#DIV/0!;;;;
Scripting; $ 58.764 ; $ 1.645.392 ;;;-$ 1.645.392 ;#DIV/0!;;;;
Scripting reclutamiento; $ 58.764 ; $ -   ;;; $ -   ;#DIV/0!;;;;
Datacleaning; $ 59.385 ; $ 1.389.609 ;;; $ 1.389.609,00 ;#DIV/0!;;;;
TopLines; $ 59.385 ; $ -   ;;; $ -   ;#DIV/0!;;;;
Procesamiento; $ 59.385 ; $ 1.068.930 ;;;-$ 1.068.930 ;#DIV/0!;;;;
Harmoni; $ 59.385 ; $ -   ;;; $ -   ;#DIV/0!;;;;
Graficación; $ 59.385 ; $ -   ;;; $ -   ;#DIV/0!;;;;
Staff OPS;; $ 5.392.582 ; $ 6.865.159 ;;;;;;;
;;;; $ -   ; TRM ; $ 3.836,95 ;;;;
Direct cost OPS;Staff con GM;Total ;Valor Unitario;;Total ;Valor Unitario;;;;
 $ 18.344.154,49 ; $ 6.657.508,97 ; $ 25.001.663 ; $ 62.504 ;; USD 6.516,02 ; USD 16,29 ;;;;
;;;;;;;;;;
;Valor Unitario; $ 167.351,87 ;;;;;;;;
;AOT; $ 66.940.747 ;;; $ 1.977.418,08 ; $ 515,36 ;;;;
;Direct cost OPS;-$ 14.988.887 ;;;;;;;;
;GM; $ 51.951.860 ;77,61%;;;;;;;
;PB+RMF;-$ 2.878.452 ;4,30%;;;;;;;
;Prof Time;-$ 5.392.582 ;;;;;;;;
;OP; $ 43.680.826 ;;;;;;;;
;%OP;65%;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
; OP Ops ;7%;;;;;;;;
; GM OPS ;21,45%;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Resumen de Costos;Costos Sin Gross;Costos con Gross %;;;;;;;
;Campo+Calidad+ Viaticos+ PMO;$ 16.277.538 ;$ 19.935.082 ;;;;;;;
;TDD (Script+Code+Proc);$ 4.103.931 ;$ 5.066.581 ;;;;;;;
;Incentivos;$ 0 ;$ 0 ;;;;;;;
;Estadistica;$ 0 ;$ 0 ;;;;;;;
;Total;$ 20.381.469 ;$ 25.001.663 ;;;;;;;
;;;;;;;;;;
;P&L;;;;;;;;;
;Muestra;10.160;SL;OPS;Eliminaciones;Total Compañía;;;;
;;Valor Unitario;0; $ 66.689,27 ;;0;;;;
;;AOT;; $ 677.562.989 ;-677562989,2;0;;;;
;;Direct cost OPS;0;-$ 579.925.421 ;-677562989,2;-1257488410;;;;
;;GM;0; $ 97.637.568 ;;97637568,18;;;;
;;GM%;#DIV/0!;14,4%;;#DIV/0!;;;;
;4,6%;PB+RMF;0;-$ 31.167.898 ;;-31167897,5;;;;
;;Prof Time;80000000;-$ 11.141.947 ;;68858053;;;;
;;OP;80000000; $ 55.327.724 ;;135327723,7;;;;
;;%OP;#DIV/0!;8,2%;;#DIV/0!;;;;
;;;;;;;;;;
;;;;;;;;;;
;"Cronograma de las
Etapas del Proyecto ";Días hábiles;;;;;;;;
;Script ;3;;;;;;;;
;Set Up OPS + Capacitación;5;;;;;;;;
;Trabajo de Campo ;21;;;;;;;;
;Code + Procesamiento;5;;;;;;;;
