 1 ; Tipo de Visita ; Complejidad ;;; No. Olas ; 1 ; No. Olas ; 1 ; No. Olas ; 1 ; No. Olas ; 3 ;;;;;
 TOTAL COSTO DIRECTO ;;;;;; $ 7.189.779 ;; $ -   ;; $ -   ;; $ 7.189.779 ;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
 Costo Directo ; Vimeo  ; Plan vimeo  ; 654 ; -   ; 1 ; -   ; 1 ; -   ; 1 ; -   ; 2 ; $ -   ;;;;;
 Costo Directo ; Bonos  ; Bonos a reclutado visita 1 ; 500 ; 35.000 ; -   ; -   ;;;;; -   ; $ -   ;;;;;
 Costo Directo ; Bonos  ; Bonos a reclutado visita 2 ; 500 ; -   ;;; -   ; -   ;;; -   ; $ -   ;;;;;
 Costo Directo ; Bonos  ; Bonos a reclutado visita 3 ; 500 ; -   ;;;;; -   ; -   ; -   ; $ -   ;;;;;
 Costo Directo ; Bonos  ; Comisión  ; 500 ;10%;; -   ;; -   ;; -   ; -   ; $ -   ;;;;;
 Costo Directo ; Bonos  ; Otras compras ; 500 ; 1 ; -   ; -   ;; -   ;; -   ;; $ -   ;;;;;
 Costo Directo ; Bonos  ; Compra de dispositivos de grabación  ; 500 ; -   ; 300.000 ; -   ; 300.000 ; -   ; 300.000 ; -   ; 600.000 ; $ -   ;;;;;
 SUBCONTRATADAS EXTERNAS ;;;;;; -   ;; -   ;; -   ;; -   ;;;;;
;;;;;;;;;;;;;;;;;
