No.;Categoría de servicio;Análisis/servicios;Explicación del modelo o entregable;Ejemplo de entregable;Total de horas estimadas*;Precio de referencia (2024);Factor para manejar economía de escala;En cuánto tiempo aproximadamente se entrega uno de los procesos, previo agendamiento.;"Número de modelos a realizar


(Se debe llenar)";Precio de referencia por X modelos - Ahorro por economía de escala;;;;;;;;;
22;Procesos Especiales;Indicadores (ACP);El indicador se entrega en una hoja excel, con el peso de cada una de las variables involucradas en el análisis, su matrix de correlaciones, el calculo del indicador en una apertura requerida y el cálculo del indicador en cada uno de los registros del estudio.;;4; $ 449.820 ; 0,70 ;Dos días;0; -   ;0;;;;;;;;
23;Procesos Especiales;Análisis factorial (redución o agrupamiento de variables);Se entrega el cluster del agrupamiento de variables, junto con la matrix de similitudes, el dendograma y el peso de cada variables a los factores creaados en excel. ;;5; $ 612.784 ; 0,70 ;Tres días;0; -   ;0;;;;;;;;
24;Procesos Especiales;Residuales ajustados;Es una matrix de distancias estándarizadas de marcas vs atributos, donde se visualiza la asociaciones significativas tanto en la matrix cómo gráficamente, el archivo se entrega en excel.;;3; $ 286.856 ; 0,70 ;Dos días;0; -   ;0;;;;;;;;
25;Procesos Especiales;Mapa de correspondencia; Se entrega un mapa y dendograma en una hoja excel, con las coordenadas de cada punto, las proyecciones de los casos ilustrativos (cuando hay bases muy pequeñas) y las agrupaciones sombreadas a partir de los análisis de dendogramas. ;;4,5; $ 480.793 ; 0,70 ;Dos días;0; -   ;0;;;;;;;;
26;Procesos Especiales;Mapa de correspondencia+residuales;Se entrega el mapa de correspondencia y la matrix de residuales, para evidenciar no solo las agrupaciones sombreadas sino las relaciones más significativas entre atributos y marcas.;;5,5; $ 542.739 ; 0,70 ;Tres días;0; -   ;0;;;;;;;;
27;Procesos Especiales;Equity actitudinal con funnel;Es un archivo excel con el cálculo del AE para cada registro y marca, además de otra hoja donde se encuentra el consolidado de los resutlados del equity por marca y la clasificación cualitativa de este.;;3; $ 286.856 ; 0,80 ;Dos días;0; -   ;0;;;;;;;;
28;Procesos Especiales;Segmentación o perfilamiento (Análisis de Cluster); Tres opciones de perfiles con el cruce de cada una de las variables del perfilamiento y el peso de cada perfil, además de los residuales. ;;14; $ 1.271.316 ; 0,90 ;Tres días;0; -   ;0;;;;;;;;
29;Procesos Especiales;Segmentación cruzada; Se entregan dos segmentaciones una usualmente de la muestra de personas y la otra segmentación de ocasiones o necesidades, las cuales se cruzan para identificar los mejores segmentos. ;;28; $ 2.542.632 ;;Siete días;0; -   ;0;;;;;;;;
30;Procesos Especiales;Segmentación (Análisis de clúster) + Algoritmo (typing tool); Tres opciones de segmentación con el cruce de cada una de las variables de la segmentación, el peso de cada perfil y un algoritmo en excel o shiny para una clasificación a posteriori. ;;30; $ 2.666.524 ; 0,90 ;Dos semanas;0; -   ;0;;;;;;;;
31;Procesos Especiales;Turf; Se entrega un gráfico en excel, con el ordenamiento y contribución de cada medio, canal o ente de evaluación. ;;2,5; $ 255.883 ; 0,40 ;Dos días;0; -   ;0;;;;;;;;
32;Procesos Especiales;Odds ration; Se entrega en una hoja excel las frecuencias, el odd para las variables señaladas, y un ejemplo de la interpretación. ;;2; $ 224.910 ; 0,50 ;Dos días;0; -   ;0;;;;;;;;
33;Procesos Especiales;Indicadores simples; Se entrega una tabla en excel con el indicador calculado. ;;2,5; $ 255.883 ; 0,90 ;Dos días;0; -   ;0;;;;;;;;
34;Procesos Especiales;Penalty & Rewards; Se entrega un archivo excel con los pesos de los factores y atributos, para un segmento, además de las penalidades y rewards. ;;5; $ 511.766 ; 0,60 ;Dos días;0; -   ;0;;;;;;;;
35;Procesos Especiales;Aporte entre marcas (similar a Brand Halo);Es un archivo en excel que muestra el aporte de cada atributo o submarca a una marca principal, junto con las diferencias significativas de los resultados.;;4; $ 449.820 ; 0,30 ;Dos días;0; -   ;0;;;;;;;;
36;Procesos Especiales;Aplicación de algoritmo de segmentación;Previo entrega de un algoritmo de segmentación, este se aplica a una nueva BDD y se entrega en excel el cluster de cada registro.;;3; $ 286.856 ; 0,75 ;Un día;0; -   ;0;;;;;;;;
37;Procesos Especiales;Análisis chaid (Árboles de clasificación); Un árbol de clasificiación con su debida documentación que presenta el análisis e interpretación. ;;3,5; $ 418.847 ; 0,75 ;Dos días;0; -   ;0;;;;;;;;
38;Procesos Especiales;Análisis chaid (CX-Árboles de clasificación); Un árbol de clasificiación, para una variable categórica como NPS o Satisfacción con su debida interpretación, se entrega en un archivo excel. ;;2,5; $ 255.883 ; 0,75 ;Dos días;0; -   ;0;;;;;;;;
39;Procesos Especiales;Análisis de causalidad con redes bayesianas (similar a IBN); Se entrega un archivo .html con un grafo acíclico dirigido, basado en redes bayesinas que permiten encontrar la causalidad de la relación entre dos atributos (flechas).  ;;13; $ 1.209.370 ; 0,50 ;Una semana;0; -   ;0;;;;;;;;
40;Procesos Especiales;PSM; Una hoja excel para un PSM con el gráfico que contiene la identificación de los puntos de intercepción y los tabulados de los precios asignados. ;;3,5; $ 317.829 ; 0,60 ;Dos días;0; -   ;0;;;;;;;;
41;Procesos Especiales;Árbol de decisión del Shopper;Se entrega en un archivo excel el ranking, que describen el peso de los atributos a la escogencia.;;5; $ 511.766 ; 0,90 ;Tres días;0; -   ;0;;;;;;;;
42;Procesos Especiales;Max-diff (Análisis Conjoint con diseño ortogonal); Se entrega el diseño de las tareas (máximo dos cambios de tareas) y en excel los resultados del desempeño de las opciones evaluadas. ;;7; $ 837.694 ; 0,95 ;Dos días;0; -   ;0;;;;;;;;
43;Procesos Especiales;Ecuaciones Estructurales; Se entrega un archivo de excel con las importancias de los atributos y la importancia de las variables latentes, respecto a un indicador principal. Además, un grafo con la estructura del modelo que incluye las importancia estimadas del modelo. ;;8; $ 899.640 ; 0,90 ;Tres días;0; -   ;0;;;;;;;;
44;Procesos Especiales;Elasticidad;Se entrega un archivo excel con la tabla de precios con su respectiva participación y calculo de la elasticidad.;;5; $ 511.766 ; 0,80 ;Dos días;0; -   ;0;;;;;;;;
45;Procesos Especiales;Elasticidad (similar a Gabor Granger);Se entrega un archivo excel con la curva de sensibilidad al precio, además de la tabla de precios con su respectiva participación y calculo de la elesticidad.;;8; $ 697.604 ;;Tres días;0; -   ;0;;;;;;;;
46;Procesos Especiales;Modelo de Atributos de Precio por Marca (similar a BIM);Es un agrupamiento de atributos de precios evaluados en diferentes marcas (cliente y competencia), se entrega en excel un análisis factorial con el agrupamiento de atributos, un modelo de machine learning que revela el peso de los factores y unos residuales ajustados complementado con mapa de correspondencia para evaluar el desempeño de la marca y su competencia.;;16; $ 1.395.208 ;;Una semana;0; -   ;0;;;;;;;;
47;Procesos Especiales;SOVA; Se entrega una tabla en excel para el producto de prueba con el resultado del source of volumen por cada producto y cada categoría. ;;5; $ 511.766 ; 0,90 ;Dos días;0; -   ;0;;;;;;;;
48;Procesos Especiales;Análisis de consistencia (Alpha cronbach);Se entrega en un excel el calculo e interpretación del coeficiente Alfa de Cronbach para la variable de interés, lo cuál muestra el nivel de confiabilidad interna de la pregunta, dentro del cuestionario, la consistencia de la escala y si es la misma variable medida en diferentes olas, muestra la consistencia en el tiempo, adicionando una prueba ANOVA.;;5,5; $ 542.739 ; 0,90 ;Dos días;0; -   ;0;;;;;;;;
49;Procesos Especiales;Ecosystem Flow; Es un grafo .html interactivo, con sus respectivas métricas de penetración y estadísticas de resúmen por apertura como franja horaria, de información suministrada de la interacción de la persona con la web, con entregable en power BI. ;;18; $ 1.519.100 ; 0,90 ;Cuatro días;0; -   ;0;;;;;;;;
50;Procesos Especiales;Channel Vision; Un AE, Turf no ponderado, turf ponderado por AE, indicador de afinidad y dos ordenes de atributos-incluye asesoria de movido de BDD. ;;18; $ 1.519.100 ; 0,75 ;Tres días;0; -   ;0;;;;;;;;
51;Procesos Especiales;Potential modelling; Se entregan un archivo .html con el resultado de la simulación para cada atributo y una tabla en excel con los valores de resúmen de la simulación. ;;4; $ 449.820 ; 0,90 ;Dos días;0; -   ;0;;;;;;;;
52;Procesos Especiales;t-plot; Se entrega un gráfico en excel con la comparación estadística de dos grupos, con sus respectivas bandas. ;;4; $ 449.820 ; 0,90 ;Dos días;0; -   ;0;;;;;;;;
53;Procesos Especiales;Análisis Conjoint (CBC); Un archivo en excel que contiene la importancia y utilidades de los atributos y variables. ;;25; $ 2.154.758 ; 0,95 ;Tres días;0; -   ;0;;;;;;;;
54;Procesos Especiales;Análisis Conjoint (CBC) con elasticidades; Un archivo en excel que contiene la importancia y utilidades de los atributos y variables, además de las elesticidades marginales, cruzadas y la canibalización. ;;42; $ 3.813.948 ; 0,95 ;Una semana;0; -   ;0;;;;;;;;
55;Procesos Especiales;Espacios de demanda (similar Demand Space);Se tienen dos entregas, la primera es un random Forest para precisar las variables que más pesan más sobre una variable de volumen o consumo y la segunda es la segmentación de personas o ocasiones o necesidades, todo se entrega en excel.;;26; $ 3.226.884 ; 1,00 ;Siete días;0; -   ;0;;;;;;;;
56;Procesos Especiales;Means - End Chain (Text Analytics de Atributos-Beneficios-Valores); Es un archivo en .html que muestra un grafo que proviene de una análisis por LDA de atributos, beneficios y valores, y un archivo excel con la frecuencias de cada atributo, beneficio y valor. ;;39; $ 3.224.038 ; 0,50 ;Dos semanas;0; -   ;0;;;;;;;;
57;Procesos Especiales;Dendograma; Es un gráfico descriptivo de la segmentación de atributos o personas ;;5; $ 511.766 ; 1,00 ;Dos días;0; -   ;0;;;;;;;;
58;Ponderación;Ponderación por una variable o dos variables cruzadas; Se sube a matrix el archivo en excel de la base de datos muestrales con el ponderador para cada registro y se debe aprobar el pegue de este ponderador a la BDD final.;;3; $ 255.883 ; 1,00 ;Un día;0; -   ;0;;;;;;;;
59;Ponderación;Ponderación dos variables (no cruzadas);;;4,5; $ 480.793 ; 1,00 ;Un día;0; -   ;0;;;;;;;;
60;Ponderación;Ponderación tres o más variables no cruzadas;;;9; $ 759.550 ; 1,00 ;Un día;0; -   ;0;;;;;;;;
61;Ponderación;Ponderación por variable diferente a universo (ejemplo ventas);;;14; $ 1.271.316 ; 1,00 ;Tres días;0; -   ;0;;;;;;;;
62;Ponderación;Factor de Expansión;Se deben incluir unas preguntas de validación en el cuestionario, según el diseño muestral y se requiere especificar en la metodología las variables a usar. El archivo se entrega en excel de la base de datos muestrales con el factor de expansión para cada registro y las tablas del universo representado por esta encuesta.;;19; $ 1.581.046 ; 1,00 ;Tres días;0; -   ;0;;;;;;;;
