KEY;SL;Record_Detail_Level;Metodologia;Horas;Horas PMO;;;;;;;;;;;;;;
INNO | L6 | ICO005  Concept Test (Custom);INNO;L6;ICO005  Concept Test (Custom);66;;;;;;;;;;;;;;;
INNO | L7 | ICO005  Concept Test (Custom);INNO;L7;ICO005  Concept Test (Custom);76;;;;;;;;;;;;;;;
INNO | Ops | IPD003  CPT Concept/Product Test;INNO;Ops;IPD003  CPT Concept/Product Test;1;;;;;;;;;;;;;;;
INNO | IIS | IPD003  CPT Concept/Product Test;INNO;IIS;IPD003  CPT Concept/Product Test;-;;;;;;;;;;;;;;;
INNO | Digital | IPD003  CPT Concept/Product Test;INNO;Digital;IPD003  CPT Concept/Product Test;-;;;;;;;;;;;;;;;
INNO | L4 | IPD003  CPT Concept/Product Test;INNO;L4;IPD003  CPT Concept/Product Test;20;;;;;;;;;;;;;;;
INNO | L5 | IPD003  CPT Concept/Product Test;INNO;L5;IPD003  CPT Concept/Product Test;20;;;;;;;;;;;;;;;
INNO | L6 | IPD003  CPT Concept/Product Test;INNO;L6;IPD003  CPT Concept/Product Test;95;;;;;;;;;;;;;;;
INNO | L7 | IPD003  CPT Concept/Product Test;INNO;L7;IPD003  CPT Concept/Product Test;93;;;;;;;;;;;;;;;
INNO | Ops | IPT001  Pack Test (Other);INNO;Ops;IPT001  Pack Test (Other);-;;;;;;;;;;;;;;;
INNO | IIS | IPT001  Pack Test (Other);INNO;IIS;IPT001  Pack Test (Other);1;;;;;;;;;;;;;;;
INNO | Digital | IPT001  Pack Test (Other);INNO;Digital;IPT001  Pack Test (Other);-;;;;;;;;;;;;;;;
INNO | L4 | IPT001  Pack Test (Other);INNO;L4;IPT001  Pack Test (Other);22;;;;;;;;;;;;;;;
INNO | L5 | IPT001  Pack Test (Other);INNO;L5;IPT001  Pack Test (Other);15;;;;;;;;;;;;;;;
INNO | L6 | IPT001  Pack Test (Other);INNO;L6;IPT001  Pack Test (Other);91;;;;;;;;;;;;;;;
INNO | L7 | IPT001  Pack Test (Other);INNO;L7;IPT001  Pack Test (Other);99;;;;;;;;;;;;;;;
INNO | Ops | ICI002  Fast Fact;INNO;Ops;ICI002  Fast Fact;-;;;;;;;;;;;;;;;
INNO | IIS | ICI002  Fast Fact;INNO;IIS;ICI002  Fast Fact;-;;;;;;;;;;;;;;;
INNO | Digital | ICI002  Fast Fact;INNO;Digital;ICI002  Fast Fact;1;;;;;;;;;;;;;;;
INNO | L4 | ICI002  Fast Fact;INNO;L4;ICI002  Fast Fact;28;;;;;;;;;;;;;;;
INNO | L5 | ICI002  Fast Fact;INNO;L5;ICI002  Fast Fact;10;;;;;;;;;;;;;;;
INNO | L6 | ICI002  Fast Fact;INNO;L6;ICI002  Fast Fact;27;;;;;;;;;;;;;;;
INNO | L7 | ICI002  Fast Fact;INNO;L7;ICI002  Fast Fact;27;;;;;;;;;;;;;;;
INNO | Ops | ICO009  Duel Custom;INNO;Ops;ICO009  Duel Custom;-;;;;;;;;;;;;;;;
INNO | IIS | ICO009  Duel Custom;INNO;IIS;ICO009  Duel Custom;1;;;;;;;;;;;;;;;
INNO | Digital | ICO009  Duel Custom;INNO;Digital;ICO009  Duel Custom;-;;;;;;;;;;;;;;;
INNO | L4 | ICO009  Duel Custom;INNO;L4;ICO009  Duel Custom;28;;;;;;;;;;;;;;;
INNO | L5 | ICO009  Duel Custom;INNO;L5;ICO009  Duel Custom;10;;;;;;;;;;;;;;;
INNO | L6 | ICO009  Duel Custom;INNO;L6;ICO009  Duel Custom;27;;;;;;;;;;;;;;;
INNO | L7 | ICO009  Duel Custom;INNO;L7;ICO009  Duel Custom;27;;;;;;;;;;;;;;;
INNO | Ops | ICO001  Concepts Legacy Offer;INNO;Ops;ICO001  Concepts Legacy Offer;-;;;;;;;;;;;;;;;
INNO | IIS | ICO001  Concepts Legacy Offer;INNO;IIS;ICO001  Concepts Legacy Offer;1;;;;;;;;;;;;;;;
INNO | Digital | ICO001  Concepts Legacy Offer;INNO;Digital;ICO001  Concepts Legacy Offer;-;;;;;;;;;;;;;;;
INNO | L4 | ICO001  Concepts Legacy Offer;INNO;L4;ICO001  Concepts Legacy Offer;40;;;;;;;;;;;;;;;
