;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;NSE 1;NSE 2;NSE 3;NSE 4;NSE 5;NSE 6;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Principal;Muestra;Encuestadores;Costos;Ciudad 1;Muestra;Encuestadores;Costos;Ciudad 2;Muestra;Encuestadores;Costos;Ciudad 3;Muestra;Encuestadores;Costos;;;;;;;;;;;;;;;;;;;;;;;
;Cúcuta;100;10; $ 550.000 ;Valledupar;50;8; $ 1.240.000 ;Girardot;150;;;;Armenia;50;;;;;;;;;;;;;;;;;;;;;;;;
;Cartagena de Indias;100;5; $ 835.000 ;Montería;50;6; $ 1.602.000 ;Neiva;50;;;;Pereira;100;;;;;;;;;;;;;;;;;;;;;;;;
;Tunja;100;5; $ 1.510.000 ;Cajicá;50;3; $ 288.000 ;Santa Marta;50;;;;Ibagué;100;;;;;;;;;;;;;;;;;;;;;;;;
;Manizales;100;8; $ 1.160.000 ;Chía;50;3; $ 504.000 ;Villavicencio;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Popayán;50;5; $ 685.000 ;Mosquera;50;; $ 792.000 ;Pasto;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;450;33; $ 4.740.000 ;;250;20; $ 4.426.000 ;;350;0; $ -   ;;0;250; $ -   ;1050;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;0;;;;500;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Total Transp;; $ 9.166.000 ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; $ 60.800 ; $ 42.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Hotel;Alimentación;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; $ 1.824.000 ; $ 1.260.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; $ 912.000 ; $ 630.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; $ 912.000 ; $ 630.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; $ 1.459.200 ; $ 1.008.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; $ 912.000 ; $ 630.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; $ 1.459.200 ; $ 1.008.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; $ 7.478.400 ; $ 5.166.000 ;Total Hotel + Alim; $ 12.644.400 ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Total Viáticos; $ 21.810.400 ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Departamento;Ciudad;Pasaje Ida y regreso;Teminales;Total;En ciudad;Rural;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amazonas;Leticia; $ 250.000 ; $ 26.000 ; $ 276.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antioquia;Sabaneta; $ 20.000 ; $ 8.000 ; $ 28.000 ; $ 8.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antioquia;Abejorral; $ 80.000 ; $ 26.000 ; $ 106.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antioquia;Bello; $ 8.000 ; $ 8.000 ; $ 16.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antioquia;Rionegro; $ 30.000 ; $ 8.000 ; $ 38.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antioquia;Salgar; $ 80.000 ; $ 26.000 ; $ 106.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antioquia;Envigado; $ 8.000 ; $ 8.000 ; $ 16.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antioquia;Itagüí; $ 8.000 ; $ 26.000 ; $ 34.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antioquia;Girardota; $ 8.000 ; $ 8.000 ; $ 16.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antioquia;Barbosa; $ 50.000 ; $ 26.000 ; $ 76.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antioquia;Anorí; $ 100.000 ; $ 26.000 ; $ 126.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antioquia;Amalfi; $ 90.000 ; $ 26.000 ; $ 116.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antioquia;Cocorná; $ 80.000 ; $ 26.000 ; $ 106.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arauca;Arauca; $ 230.000 ; $ 26.000 ; $ 256.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arauca;Tame; $ 230.000 ; $ 26.000 ; $ 256.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atlantico;Malambo; $ 24.000 ; $ 8.000 ; $ 32.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atlántico;Soledad; $ 34.000 ; $ 8.000 ; $ 42.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atlántico;Sabanalarga; $ 40.000 ; $ 8.000 ; $ 48.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolívar;Cartagena de Indias; $ 102.000 ; $ 26.000 ; $ 128.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolívar;Arjona; $ 237.000 ; $ 26.000 ; $ 263.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolívar;El Carmen de Bolívar; $ 80.000 ; $ 26.000 ; $ 106.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boyacá;Tunja; $ 72.000 ; $ 26.000 ; $ 98.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boyacá;Duitama; $ 90.000 ; $ 26.000 ; $ 116.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boyacá;Sogamoso; $ 90.000 ; $ 26.000 ; $ 116.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boyacá;Tunja; $ 98.000 ; $ 26.000 ; $ 124.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boyacá;Duitama; $ 116.000 ; $ 26.000 ; $ 142.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caldas;Manizales; $ 166.000 ; $ 26.000 ; $ 192.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caldas;Chinchiná; $ 160.000 ; $ 26.000 ; $ 186.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caldas;Pácora; $ 140.000 ; $ 26.000 ; $ 166.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caldas;Riosucio; $ 140.000 ; $ 26.000 ; $ 166.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caquetá;Florencia; $ 246.000 ; $ 26.000 ; $ 272.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caquetá;Cartagena del Chairá; $ 320.000 ; $ 26.000 ; $ 346.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caquetá;Támara; $ 100.000 ; $ 26.000 ; $ 126.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casanare;Yopal; $ 186.000 ; $ 26.000 ; $ 212.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casanare;Paz de Ariporo; $ 179.000 ; $ 26.000 ; $ 205.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cauca;Páez; $ 162.000 ; $ 26.000 ; $ 188.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cauca;Popayán; $ 106.000 ; $ 26.000 ; $ 132.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cauca;Balboa; $ 332.000 ; $ 26.000 ; $ 358.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cesar;Valledupar; $ 120.000 ; $ 26.000 ; $ 146.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cesar;Valledupar; $ 146.000 ; $ 26.000 ; $ 172.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cesar;Pueblo Bello; $ 60.000 ; $ 26.000 ; $ 86.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chocó;Bagadó; $ 246.000 ; $ 26.000 ; $ 272.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chocó;Carmen del Darién; $ 292.000 ; $ 26.000 ; $ 318.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chocó;Bojayá ( se viaja en avión y Ferri); $ 1.600.000 ; $ 26.000 ; $ 1.626.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chocó;Istmina; $ 240.000 ; $ 26.000 ; $ 266.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chocó;Quibdó; $ 260.000 ; $ 26.000 ; $ 286.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Córdoba;Montería; $ 164.000 ; $ 26.000 ; $ 190.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Córdoba;San andres de Sotavento; $ 120.000 ; $ 26.000 ; $ 146.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Córdoba;Lorica; $ 55.000 ; $ 26.000 ; $ 81.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Córdoba;Tierralta; $ 180.000 ; $ 26.000 ; $ 206.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Barandillas; $ 20.400 ; $ 16.001 ; $ 36.401 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Briceño; $ 15.000 ; $ 16.006 ; $ 31.006 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Cajicá; $ 15.200 ; $ 16.000 ; $ 31.200 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Capallanía; $ 15.600 ; $ 16.000 ; $ 31.600 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Caparrapi; $ 120.000 ; $ 26.000 ; $ 146.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Chía; $ 13.000 ; $ 16.000 ; $ 29.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Cogua; $ 24.600 ; $ 16.000 ; $ 40.600 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Cucaita; $ 78.000 ; $ 16.014 ; $ 94.014 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Dorada; $ 125.000 ; $ 16.000 ; $ 141.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;El Valle; $ 68.400 ; $ 16.016 ; $ 84.416 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Factativá; $ 26.000 ; $ 16.000 ; $ 42.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Funza; $ 11.000 ; $ 8.000 ; $ 19.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Fusagasuga; $ 40.000 ; $ 26.000 ; $ 66.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Gachalá; $ 96.200 ; $ 16.022 ; $ 112.222 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Gachancipá; $ 55.400 ; $ 8.000 ; $ 63.400 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Gachetá; $ 68.400 ; $ 16.000 ; $ 84.400 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Gama; $ 82.600 ; $ 16.020 ; $ 98.620 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Girardot; $ 120.000 ; $ 26.000 ; $ 146.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Guaduas; $ 101.000 ; $ 16.000 ; $ 117.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Guasca; $ 77.800 ; $ 16.000 ; $ 93.800 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Honda; $ 110.200 ; $ 16.000 ; $ 126.200 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Junín; $ 68.400 ; $ 16.018 ; $ 84.418 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;La Calera; $ 16.400 ; $ 16.023 ; $ 32.423 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;La Caro; $ 10.600 ; $ 16.005 ; $ 26.605 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;La Playa; $ 22.000 ; $ 16.009 ; $ 38.009 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;La Portada; $ 49.800 ; $ 16.029 ; $ 65.829 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;La Vega; $ 59.800 ; $ 16.000 ; $ 75.800 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Los Alpes; $ 30.400 ; $ 16.026 ; $ 46.426 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Mirador; $ 24.600 ; $ 16.003 ; $ 40.603 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Mosquera; $ 26.000 ; $ 8.000 ; $ 34.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Nemocón; $ 27.000 ; $ 16.004 ; $ 43.004 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Páramo; $ 36.000 ; $ 16.027 ; $ 52.027 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Pauso; $ 80.000 ; $ 16.019 ; $ 96.019 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Potreritos; $ 44.200 ; $ 16.028 ; $ 60.228 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Puente Licio; $ 52.200 ; $ 16.030 ; $ 68.230 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;San Roque Gama; $ 90.800 ; $ 16.021 ; $ 106.821 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Salitre; $ 22.200 ; $ 16.024 ; $ 38.224 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;San Francico; $ 68.400 ; $ 16.017 ; $ 84.417 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;San Migule-Granja; $ 22.200 ; $ 16.002 ; $ 38.202 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Soacha; $ 8.000 ; $ 26.000 ; $ 34.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Suesca; $ 24.600 ; $ 16.010 ; $ 40.610 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Sueva; $ 57.600 ; $ 16.031 ; $ 73.631 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Tocancipá; $ 17.000 ; $ 16.007 ; $ 33.007 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Tres Esquinas; $ 12.200 ; $ 16.012 ; $ 28.212 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Ubalá; $ 22.000 ; $ 16.000 ; $ 38.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Villa de Leyva; $ 86.000 ; $ 16.015 ; $ 102.015 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Villeta; $ 74.400 ; $ 16.000 ; $ 90.400 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cundinamarca;Zipaquirá; $ 20.000 ; $ 8.000 ; $ 28.000 ; $ 13.000 ; $ 400.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaviare;San José del Guaviare; $ 260.000 ; $ 26.000 ; $ 286.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huila;Neiva; $ 124.000 ; $ 26.000 ; $ 150.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huila;Acevedo; $ 30.000 ; $ 26.000 ; $ 56.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huila;La Argentina; $ 216.000 ; $ 26.000 ; $ 242.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huila;Rivera; $ 30.000 ; $ 26.000 ; $ 56.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huila;Pitalito; $ 140.000 ; $ 26.000 ; $ 166.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La Guajira;Riohacha; $ 146.000 ; $ 26.000 ; $ 172.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La Guajira;Uribia; $ 125.000 ; $ 26.000 ; $ 151.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La Guajira;Hatonuevo; $ 90.000 ; $ 26.000 ; $ 116.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Magdalena;Santa Marta; $ 102.000 ; $ 26.000 ; $ 128.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meta;Villavicencio; $ 110.000 ; $ 26.000 ; $ 136.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meta;Acacías; $ 30.000 ; $ 26.000 ; $ 56.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meta;Granada; $ 80.000 ; $ 26.000 ; $ 106.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nariño;Pasto; $ 166.000 ; $ 26.000 ; $ 192.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nariño;Ipiales; $ 120.000 ; $ 26.000 ; $ 146.000 ; $ 13.000 ; $ 40.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
