;Perfil;Mas 82%;Coordinación, supervisión y tablets;Total Mas 82%;75%-82%;Coordinación, supervisión y tablets;Total 75%-82%;67%-74%;Coordinación, supervisión y tablets;Total 67%-74%;55-66%;Coordinación, supervisión y tablets;Total Mas 55-66%;46-54%;Coordinación, supervisión y tablets;Total Mas 46-54%;37-45%;Coordinación, supervisión y tablets;Total Mas 37-45%;30-36%;Coordinación, supervisión y tablets;Total Mas 30-36%;22-29%;Coordinación, supervisión y tablets;Total Mas 22-29%;15-21%;Coordinación, supervisión y tablets;Total Mas 15-21%;10-14%;Coordinación, supervisión y tablets;Total Mas 10-14%;0-9%;Coordinación, supervisión y tablets;Total Mas 0-9%;;;;;;;;;;;;;;;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;;;;;;;;;;;;;;;Diferencia entre duraciones;;;;;;;;;;
;Perfil;Mas 82%;Coordinación, supervisión y tablets;Total Mas 82%;75%-82%;Coordinación, supervisión y tablets;Total 75%-82%;67%-74%;Coordinación, supervisión y tablets;Total 67%-74%;55-66%;Coordinación, supervisión y tablets;Total Mas 55-66%;46-54%;Coordinación, supervisión y tablets;Total Mas 46-54%;37-45%;Coordinación, supervisión y tablets;Total Mas 37-45%;30-36%;Coordinación, supervisión y tablets;Total Mas 30-36%;22-29%;Coordinación, supervisión y tablets;Total Mas 22-29%;15-21%;Coordinación, supervisión y tablets;Total Mas 15-21%;10-14%;Coordinación, supervisión y tablets;Total Mas 10-14%;0-9%;Coordinación, supervisión y tablets;Total Mas 0-9%;;;Diferencia entre perfiles;Mas 82%;75%-82%;67%-74%;55-66%;46-54%;37-45%; 30-36%;22-29%;15-21%;10-14%;0-9%;Mas 82%;75%-82%;67%-74%;55-66%;46-54%;37-45%; 30-36%;22-29%;15-21%;10-14%;0-9%
5;0-5 minutos; $ 7.123 ; $ 13.207 ; $ 20.330 ; $ 7.623 ; $ 13.207 ; $ 20.830 ; $ 8.123 ; $ 13.207 ; $ 21.330 ; $ 8.523 ; $ 13.307 ; $ 21.830 ; $ 9.362 ; $ 13.468 ; $ 22.830 ; $ 10.225 ; $ 14.105 ; $ 24.330 ; $ 12.630 ; $ 15.200 ; $ 27.830 ; $ 15.630 ; $ 15.200 ; $ 30.830 ; $ 18.130 ; $ 15.200 ; $ 33.330 ; $ 20.630 ; $ 15.200 ; $ 35.830 ; $ 23.130 ; $ 15.200 ; $ 38.330 ;;;0-5 minutos;; $ 500 ; $ 500 ; $ 500 ; $ 1.000 ; $ 1.500 ; $ 3.500 ; $ 3.000 ; $ 2.500 ; $ 2.500 ; $ 2.500 ;;;;;;;;;;;
10;6-10 minutos; $ 8.123 ; $ 13.207 ; $ 21.330 ; $ 8.623 ; $ 13.207 ; $ 21.830 ; $ 9.123 ; $ 13.207 ; $ 22.330 ; $ 9.523 ; $ 13.307 ; $ 22.830 ; $ 10.362 ; $ 13.468 ; $ 23.830 ; $ 11.225 ; $ 14.105 ; $ 25.330 ; $ 13.630 ; $ 15.200 ; $ 28.830 ; $ 17.630 ; $ 15.200 ; $ 32.830 ; $ 20.130 ; $ 15.200 ; $ 35.330 ; $ 22.630 ; $ 15.200 ; $ 37.830 ; $ 25.130 ; $ 15.200 ; $ 40.330 ;;;6-10 minutos;; $ 500 ; $ 500 ; $ 500 ; $ 1.000 ; $ 1.500 ; $ 3.500 ; $ 4.000 ; $ 2.500 ; $ 2.500 ; $ 2.500 ; $ 1.000 ; $ 1.000 ; $ 1.000 ; $ 1.000 ; $ 1.000 ; $ 1.000 ; $ 1.000 ; $ 2.000 ; $ 2.000 ; $ 2.000 ; $ 2.000 
15;11-15minutos; $ 9.623 ; $ 13.207 ; $ 22.830 ; $ 10.123 ; $ 13.207 ; $ 23.330 ; $ 10.623 ; $ 13.207 ; $ 23.830 ; $ 11.023 ; $ 13.307 ; $ 24.330 ; $ 11.862 ; $ 13.468 ; $ 25.330 ; $ 12.725 ; $ 14.105 ; $ 26.830 ; $ 15.130 ; $ 15.200 ; $ 30.330 ; $ 19.630 ; $ 15.200 ; $ 34.830 ; $ 22.130 ; $ 15.200 ; $ 37.330 ; $ 24.630 ; $ 15.200 ; $ 39.830 ; $ 27.130 ; $ 15.200 ; $ 42.330 ;;;11-20minutos;; $ 500 ; $ 500 ; $ 500 ; $ 1.000 ; $ 1.500 ; $ 3.500 ; $ 4.500 ; $ 2.500 ; $ 2.500 ; $ 2.500 ; $ 1.500 ; $ 1.500 ; $ 1.500 ; $ 1.500 ; $ 1.500 ; $ 1.500 ; $ 1.500 ; $ 2.000 ; $ 2.000 ; $ 2.000 ; $ 2.000 
20;16-20minutos; $ 11.623 ; $ 13.207 ; $ 24.830 ; $ 12.123 ; $ 13.207 ; $ 25.330 ; $ 12.623 ; $ 13.207 ; $ 25.830 ; $ 13.023 ; $ 13.307 ; $ 26.330 ; $ 13.862 ; $ 13.468 ; $ 27.330 ; $ 14.725 ; $ 14.105 ; $ 28.830 ; $ 17.130 ; $ 15.200 ; $ 32.330 ; $ 21.630 ; $ 15.200 ; $ 36.830 ; $ 24.130 ; $ 15.200 ; $ 39.330 ; $ 26.630 ; $ 15.200 ; $ 41.830 ; $ 29.130 ; $ 15.200 ; $ 44.330 ;;;;;;;;;;;;;;;;;;;;;;;;;
30;21-30 minutos; $ 14.123 ; $ 13.207 ; $ 27.330 ; $ 14.623 ; $ 13.207 ; $ 27.830 ; $ 15.123 ; $ 13.207 ; $ 28.330 ; $ 15.523 ; $ 13.307 ; $ 28.830 ; $ 16.362 ; $ 13.468 ; $ 29.830 ; $ 17.225 ; $ 14.105 ; $ 31.330 ; $ 19.630 ; $ 15.200 ; $ 34.830 ; $ 23.630 ; $ 15.200 ; $ 38.830 ; $ 26.130 ; $ 15.200 ; $ 41.330 ; $ 28.630 ; $ 15.200 ; $ 43.830 ; $ 31.130 ; $ 15.200 ; $ 46.330 ;;;21-30 minutos;; $ 500 ; $ 500 ; $ 500 ; $ 1.000 ; $ 1.500 ; $ 3.500 ; $ 4.000 ; $ 2.500 ; $ 2.500 ; $ 2.500 ; $ 4.500 ; $ 4.500 ; $ 4.500 ; $ 4.500 ; $ 4.500 ; $ 4.500 ; $ 4.500 ; $ 4.000 ; $ 4.000 ; $ 4.000 ; $ 4.000 
40;31-40 minutos; $ 17.123 ; $ 13.207 ; $ 30.330 ; $ 17.623 ; $ 13.207 ; $ 30.830 ; $ 18.123 ; $ 13.207 ; $ 31.330 ; $ 18.523 ; $ 13.307 ; $ 31.830 ; $ 19.362 ; $ 13.468 ; $ 32.830 ; $ 20.225 ; $ 14.105 ; $ 34.330 ; $ 22.630 ; $ 15.200 ; $ 37.830 ; $ 25.630 ; $ 15.200 ; $ 40.830 ; $ 28.130 ; $ 15.200 ; $ 43.330 ; $ 30.630 ; $ 15.200 ; $ 45.830 ; $ 33.130 ; $ 15.200 ; $ 48.330 ;;;31-40 minutos;; $ 500 ; $ 500 ; $ 500 ; $ 1.000 ; $ 1.500 ; $ 3.500 ; $ 3.000 ; $ 2.500 ; $ 2.500 ; $ 2.500 ; $ 3.000 ; $ 3.000 ; $ 3.000 ; $ 3.000 ; $ 3.000 ; $ 3.000 ; $ 3.000 ; $ 2.000 ; $ 2.000 ; $ 2.000 ; $ 2.000 
50;41-50 minutos; $ 20.123 ; $ 13.207 ; $ 33.330 ; $ 20.623 ; $ 13.207 ; $ 33.830 ; $ 21.123 ; $ 13.207 ; $ 34.330 ; $ 21.523 ; $ 13.307 ; $ 34.830 ; $ 22.362 ; $ 13.468 ; $ 35.830 ; $ 23.225 ; $ 14.105 ; $ 37.330 ; $ 25.630 ; $ 15.200 ; $ 40.830 ; $ 29.630 ; $ 15.200 ; $ 44.830 ; $ 32.130 ; $ 15.200 ; $ 47.330 ; $ 34.630 ; $ 15.200 ; $ 49.830 ; $ 37.130 ; $ 15.200 ; $ 52.330 ;;;41-50 minutos;; $ 500 ; $ 500 ; $ 500 ; $ 1.000 ; $ 1.500 ; $ 3.500 ; $ 4.000 ; $ 2.500 ; $ 2.500 ; $ 2.500 ; $ 3.000 ; $ 3.000 ; $ 3.000 ; $ 3.000 ; $ 3.000 ; $ 3.000 ; $ 3.000 ; $ 4.000 ; $ 4.000 ; $ 4.000 ; $ 4.000 
