BI;sp_TransferiListaJob
dbo;CC_LogEstadosOrdenesServicio_Add
dbo;CC_MuestraTrabajosGet
dbo;CC_NombreCoordinadorGet
dbo;CC_NominaDistribucion1-IpsosProductividad
dbo;CC_NominaDistribucion2-TemporalProductividad
dbo;CC_NominaDistribucion3-IpsosFijosHoras
dbo;CC_NominaDistribucion4-Ipsos5-Temporal-FijosProduccion
dbo;CC_NominaDistribucion6-IpsosLiqFijosHorasyProduccion7-Productividad
dbo;CC_NominaDistribucionBorrarMesErrores
dbo;CC_NominaDistribucionBorrarProdFijos
dbo;CC_NominaDistribucionCostos
dbo;CC_NominaDistribucionCostosCOPIA
dbo;CC_NominaDistribucionExisteCedula
dbo;CC_NominaDistribucionInsertarHistoricos
dbo;CC_NominaDistribucionInsertarProdFijos
dbo;CC_NominaDistribucionInsertarRegistros
dbo;CC_NominaDistribucionInsertarRegistrosErrores
dbo;CC_ObservacionPresupuestoGet
dbo;CC_ObtenerAñoValor
dbo;CC_ObtenerAñoValorLast
dbo;CC_ObtenerPresupuestosCondicionesDescripciones
dbo;CC_ObtenerProduccionErroresCargueDatos
dbo;CC_ObtenerUltimoIdProduccion
dbo;CC_OrdenesdeServicio_Edit
dbo;CC_OrdenesdeServicioAdd
dbo;CC_OrdenesdeServicioGet
dbo;CC_ParticipantesPlanillaAsistencia
dbo;CC_PersonalAsignadoGet
dbo;CC_PreguntasGestionCampoXTrabajo
dbo;CC_PreguntasHistoricoGuardar
dbo;CC_PresupuestoInternoDelete
dbo;CC_PresupuestoInternoGet
dbo;CC_PresupuestosAreasInternas
dbo;CC_PresupuestosInternosGet
dbo;CC_PresupuestosInternosGetXId
dbo;CC_Produccion_CargueTemporal_Del
dbo;CC_Produccion_CargueTemporal_PasarAFinal
dbo;CC_ProduccionAdd
dbo;CC_ProduccionCargueDelete
dbo;CC_ProduccionCargueTemportalUpdate
dbo;CC_ProduccionCiudades
dbo;CC_ProduccionDiasTrabajados
dbo;CC_ProduccionEliminar
dbo;CC_ProduccionExport
dbo;CC_ProduccionExportPorIDs
dbo;CC_ProduccionGetxFecha
dbo;CC_ProduccionJobsAbiertos_CRU
dbo;CC_ProduccionResumenPersonas
dbo;CC_ProduccionResumenXCedula
dbo;CC_ProduccionTempBorrar
dbo;CC_ProduccionTempGet
dbo;CC_ProduccionTiposEncuestador
dbo;CC_ProduccionTotalLiquidacionPorCedula
dbo;CC_ProduccionTrabajosSinPresupuesto
dbo;CC_ProduccionUpdateCC
dbo;CC_ProduccionValidarCargueDiferenteEncuestas
dbo;CC_ProduccionValidarDatosCargue
dbo;CC_ProduccionValidarExistePresupuesto
dbo;CC_ProduccionValidarHorasPorDia
dbo;CC_ProduccionValidarPersona
dbo;CC_ProduccionValidarTrabajo
dbo;CC_ProduccionValorActividad
dbo;CC_ProduccionValorEncuesta
dbo;CC_ProduccionValorEncuestaCondiciones
dbo;CC_ProduccionValorEncuestaOld
dbo;CC_ProduccionXCiudad
dbo;CC_ProduccionXFechas
dbo;CC_RadicadoCuentasEliminar
dbo;CC_RecepcionCuentasCobroUpdate
dbo;CC_RecepcionCuentasdeCobroAdd
dbo;CC_RecepcionCuentasdeCobroDelete
dbo;CC_RecepcionCuentasdeCobroGet
dbo;CC_RecepcionCuentasdeCobroGetXId
dbo;CC_ReporteActividadesProduccion
dbo;CC_ReporteActvidadadesProduccionXFecha
dbo;CC_ReporteContabilizacion
dbo;CC_ReporteMuestra
dbo;CC_ReporteOrdenesServicio
dbo;CC_ReportePagos
dbo;CC_ReportePagos_WORK
dbo;CC_ReportePagosSumaxTipo
dbo;CC_RequisiscionesAdd
dbo;CC_SolicitudPresupuestoGet
dbo;CC_SolicitudPresupuestoInternoAdd
dbo;CC_SolicitudPresupuestoInternoAddMod
dbo;CC_TarifasAutomaticasGet
dbo;CC_TipoDocumentoGet
dbo;CC_TrabajoGetProducto
dbo;CC_Trabajos_Get
dbo;CC_TrabajosConteo
dbo;CC_UpdateDetallePresupuesto
dbo;CC_ValorEncuestaGet
dbo;CC_ValorUnitarioContratistaGet
dbo;CCPresupuestoInternoEditarTotal
dbo;CI_Busqueda_Get
dbo;CI_CarpetasRed_Get
dbo;CI_CarpetasRedRaiz_Get
dbo;CI_DetalleAlmacenamiento_Add
dbo;CI_DetalleAlmacenamiento_Edit
dbo;CI_DetalleAlmacenamiento_Get
dbo;CI_DocumentosCierre_Get
dbo;CI_DocumentosRecuperacion_Get
dbo;CI_IndexacionCarpetasCierreArchivos_Add
dbo;CI_IndexacionCarpetasCierreArchivos_Get
dbo;CI_IndexacionCarpetasCierreRaiz_Add
dbo;CI_IndexacionCarpetasCierreRaiz_Edit
dbo;CI_IndexacionCarpetasCierreRaiz_Get
dbo;CI_LogCierres_Add
dbo;CI_LogCreacionCarpetasRed_Add
dbo;CI_LogMoverCarpetaMatrixTrabajosCerrados_Add
dbo;CI_MaestroAlmacenamiento_Add
dbo;CI_MaestroAlmacenamiento_Get
dbo;CI_SolicitudMedios_Add
dbo;CI_SolicitudMedios_Get
dbo;CO_EvaluacionProveedoresFacturaOP_Get
dbo;CO_EvaluacionProveedorUltimaFecha_Get
dbo;ConsultarUsuarios
dbo;ConsultarUsuariosXNombre
dbo;ConsultarUsuariosXRolesUsuarios
dbo;CORE_Asunto_Get
dbo;CORE_Configuracion_DocumentosXTarea_Get
dbo;CORE_Configuracion_Tareas_Previas
dbo;CORE_Configuracion_TareasXTipoHilo_Get
dbo;CORE_DataVisualizacionTareasADD
dbo;CORE_DestinatariosCorreosNotificacionFecha
dbo;CORE_DocumentosRequeridosXTarea_Get
